SAMPID	SMTSD	IndidualID
GTEX-1117F-0226-SM-5GZZ7	Adipose - Subcutaneous	1117F
GTEX-1117F-0426-SM-5EGHI	Muscle - Skeletal	1117F
GTEX-1117F-0526-SM-5EGHJ	Artery - Tibial	1117F
GTEX-1117F-0626-SM-5N9CS	Artery - Coronary	1117F
GTEX-1117F-0726-SM-5GIEN	Heart - Atrial Appendage	1117F
GTEX-1117F-1326-SM-5EGHH	Adipose - Visceral (Omentum)	1117F
GTEX-1117F-2426-SM-5EGGH	Uterus	1117F
GTEX-1117F-2526-SM-5GZY6	Vagina	1117F
GTEX-1117F-2826-SM-5GZXL	Breast - Mammary Tissue	1117F
GTEX-1117F-2926-SM-5GZYI	Skin - Not Sun Exposed (Suprapubic)	1117F
GTEX-1117F-3026-SM-5GZYU	Minor Salivary Gland	1117F
GTEX-1117F-3226-SM-5N9CT	Brain - Cortex	1117F
GTEX-111CU-0126-SM-5GZWZ	Adrenal Gland	111CU
GTEX-111CU-0226-SM-5GZXC	Thyroid	111CU
GTEX-111CU-0326-SM-5GZXO	Lung	111CU
GTEX-111CU-0426-SM-5GZY1	Spleen	111CU
GTEX-111CU-0526-SM-5EGHK	Pancreas	111CU
GTEX-111CU-0626-SM-5EGHL	Esophagus - Muscularis	111CU
GTEX-111CU-0726-SM-5GZYD	Esophagus - Mucosa	111CU
GTEX-111CU-0826-SM-5EGIJ	Esophagus - Gastroesophageal Junction	111CU
GTEX-111CU-0926-SM-5EGIK	Stomach	111CU
GTEX-111CU-1026-SM-5EGIL	Adipose - Visceral (Omentum)	111CU
GTEX-111CU-1126-SM-5EGIM	Skin - Not Sun Exposed (Suprapubic)	111CU
GTEX-111CU-1226-SM-5EGIN	Colon - Sigmoid	111CU
GTEX-111CU-1326-SM-5NQ8L	Small Intestine - Terminal Ileum	111CU
GTEX-111CU-1426-SM-5GZYP	Colon - Transverse	111CU
GTEX-111CU-1526-SM-5N9FS	Prostate	111CU
GTEX-111CU-1726-SM-5EGHM	Testis	111CU
GTEX-111CU-1826-SM-5GZYN	Adipose - Subcutaneous	111CU
GTEX-111CU-2026-SM-5GZZC	Muscle - Skeletal	111CU
GTEX-111CU-2226-SM-5N9G5	Nerve - Tibial	111CU
GTEX-111FC-0126-SM-5N9DL	Skin - Sun Exposed (Lower leg)	111FC
GTEX-111FC-0226-SM-5N9B8	Adipose - Subcutaneous	111FC
GTEX-111FC-0326-SM-5GZZ1	Muscle - Skeletal	111FC
GTEX-111FC-0426-SM-5N9CV	Artery - Tibial	111FC
GTEX-111FC-0526-SM-5GZZ8	Nerve - Tibial	111FC
GTEX-111FC-0626-SM-5N9CU	Heart - Atrial Appendage	111FC
GTEX-111FC-0826-SM-5GZWO	Heart - Left Ventricle	111FC
GTEX-111FC-1026-SM-5GZX1	Thyroid	111FC
GTEX-111FC-1126-SM-5GZWU	Lung	111FC
GTEX-111FC-1326-SM-5N9D9	Spleen	111FC
GTEX-111FC-1926-SM-5GZYC	Testis	111FC
GTEX-111FC-2026-SM-5GZYO	Prostate	111FC
GTEX-111FC-2526-SM-5GZXU	Skin - Not Sun Exposed (Suprapubic)	111FC
GTEX-111FC-2926-SM-5GZY7	Minor Salivary Gland	111FC
GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex	111FC
GTEX-111FC-3326-SM-5GZYV	Brain - Cerebellum	111FC
GTEX-111VG-0326-SM-5GZX7	Heart - Atrial Appendage	111VG
GTEX-111VG-0526-SM-5N9BW	Thyroid	111VG
GTEX-111VG-0726-SM-5GIDC	Lung	111VG
GTEX-111VG-1626-SM-5EGIO	Skin - Not Sun Exposed (Suprapubic)	111VG
GTEX-111VG-1926-SM-5GIDO	Testis	111VG
GTEX-111VG-2226-SM-5N9DU	Colon - Transverse	111VG
GTEX-111VG-2326-SM-5N9BK	Adipose - Subcutaneous	111VG
GTEX-111VG-2426-SM-5GZXD	Skin - Sun Exposed (Lower leg)	111VG
GTEX-111VG-2526-SM-5GZXP	Nerve - Tibial	111VG
GTEX-111VG-2626-SM-5GZY2	Muscle - Skeletal	111VG
GTEX-111YS-0006-SM-5NQBE	Whole Blood	111YS
GTEX-111YS-0126-SM-5987T	Adrenal Gland	111YS
GTEX-111YS-0326-SM-5GZZ3	Heart - Atrial Appendage	111YS
GTEX-111YS-0426-SM-5987O	Heart - Left Ventricle	111YS
GTEX-111YS-0526-SM-5GZXJ	Artery - Aorta	111YS
GTEX-111YS-0626-SM-5GZXV	Lung	111YS
GTEX-111YS-0726-SM-5GZY8	Thyroid	111YS
